,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,port alfred,68,ZA,1554714000,81,-33.5906,26.891,72.42,8.39
1,quatre cocos,100,MU,1554714000,84,-20.2078,57.7625,81.66,13.27
2,meulaboh,24,ID,1554714000,100,4.1363,96.1285,83.5,4.47
3,pevek,44,RU,1554714000,69,69.7028,170.2747,1.78,4.03
4,belyy yar,0,RU,1554714000,61,53.6039,91.3903,44.06,4.25
5,hermanus,0,ZA,1554714000,56,-34.4176,19.2361,75.81,3.69
6,ushuaia,0,AR,1554714000,100,-54.807,-68.3074,28.58,2.3
7,kapaa,100,US,1554714000,100,22.0752,-159.319,71.62,10.29
8,batemans bay,88,AU,1554714000,56,-35.7073,150.1783,70.17,7.72
9,hilo,32,US,1554714000,99,19.7072,-155.0817,74.58,12.93
10,atuona,80,PF,1554714000,100,-9.8,-139.0334,81.7,9.57
11,cabo san lucas,0,MX,1554714000,100,22.8938,-109.9112,69.36,7.49
12,busselton,0,AU,1554714000,80,-33.6445,115.3489,75.61,13.42
13,bredasdorp,76,ZA,1554714000,87,-34.5331,20.0428,67.92,17.4
14,hobart,44,AU,1554714000,53,-42.8826,147.3281,60.69,12.26
15,qaanaaq,8,GL,1554714000,76,77.484,-69.3633,22.75,11.41
16,vaini,0,IN,1554714000,53,15.336,74.4926,93.6,3.31
17,arraial do cabo,0,BR,1554714000,97,-22.9663,-42.0245,75.94,6.04
18,mar del plata,80,AR,1554714000,100,-46.4276,-67.5191,47.86,3.36
19,leningradskiy,20,RU,1554714000,66,69.3833,178.4167,-4.35,7.56
20,mataura,44,NZ,1554714000,59,-46.1928,168.8643,52.68,7.9
21,general roca,0,AR,1554714000,52,-39.0267,-67.5755,49.02,2.8
22,itarantim,80,BR,1554714000,96,-15.6521,-40.06,70.45,2.35
23,cape town,8,ZA,1554714000,89,-33.929,18.4174,64.17,8.79
24,boffa,8,GN,1554714000,72,10.1812,-14.0378,81.7,4.25
25,avarua,0,CK,1554714000,100,-21.2078,-159.775,79.89,15.61
26,zarubino,48,RU,1554714000,53,42.6511,131.062,48.4,10.02
27,panjakent,20,UZ,1554714000,77,39.4962,67.6141,70.34,1.74
28,nara,64,JP,1554714000,85,34.6845,135.8048,59.9,8.5
29,punta arenas,0,CL,1554714000,100,-53.1627,-70.9081,37.5,1.19
30,cidreira,76,BR,1554714000,97,-30.1658,-50.2184,66.4,4.99
31,fare,48,PF,1554714000,100,-16.7001,-151.0167,83.32,16.33
32,sundargarh,20,IN,1554714000,26,22.1201,84.0372,98.8,7.72
33,rikitea,0,PF,1554714000,100,-23.1203,-134.9692,76.57,4.88
34,iqaluit,64,CA,1554714000,76,63.7494,-68.5219,11.13,11.81
35,yellowknife,88,CA,1554714000,90,62.4541,-114.3774,31.14,14.09
36,dikson,56,RU,1554714000,100,73.5069,80.5464,17.35,7.23
37,namibe,24,AO,1554714000,100,-15.1902,12.1531,76.84,2.75
38,samarai,80,PG,1554714000,100,-10.6167,150.6667,81.16,8.72
39,jamestown,0,AU,1554714000,55,-33.2075,138.6035,64.06,9.24
40,alice springs,0,AU,1554714000,22,-23.6984,133.8813,86.04,9.24
41,chuy,0,UY,1554714000,93,-33.6938,-53.4562,52.9,2.75
42,ilulissat,56,GL,1554714000,66,69.2167,-51.1,38.01,11.3
43,heihe,56,RU,1554714000,29,50.2378,127.5132,47.04,12.26
44,sorland,76,NO,1554714000,100,67.667,12.6934,36.87,12.86
45,barrow,0,AR,1554714000,44,-38.3131,-60.2291,62.71,12.93
46,luganville,0,VU,1554714000,100,-15.5122,167.1784,82.51,13.42
47,panguna,100,PG,1554714000,86,-6.3164,155.4848,78.73,3.31
48,aksarka,36,RU,1554714000,100,66.5606,67.7975,28.96,4.7
49,nikolskoye,68,RU,1554714000,87,59.7035,30.7861,49.29,9.28
50,kieta,76,PG,1554714000,100,-6.2167,155.6333,79.81,2.53
51,fuxin,0,CN,1554714000,17,42.0152,121.6453,53.98,8.01
52,port elizabeth,100,US,1554714000,96,39.3134,-74.9811,53.82,11.36
53,mehamn,56,NO,1554714000,85,71.035,27.8517,33.94,7.05
54,ranau,56,MY,1554714000,92,5.9511,116.6663,74.35,0.51
55,vila velha,48,BR,1554714000,100,-3.7125,-38.6045,79.35,8.57
56,east london,64,ZA,1554714000,100,-33.0153,27.9116,70.44,15.61
57,cherskiy,24,RU,1554714000,69,68.75,161.3,9.43,2.86
58,tuatapere,80,NZ,1554714000,79,-46.1324,167.6908,61.8,12.64
59,kavieng,68,PG,1554714000,100,-2.5745,150.7967,79.09,7.38
60,soubre,88,CI,1554714000,97,5.7856,-6.6084,74.23,5.59
61,mahebourg,100,MU,1554714000,84,-20.4081,57.7,81.57,13.27
62,albany,92,US,1554714000,96,42.6512,-73.755,47.49,7.05
63,hofn,92,IS,1554714000,100,64.2539,-15.2082,38.14,11.14
64,mangaluru,0,IN,1554714000,65,12.8698,74.843,95.31,11.41
65,montepuez,20,MZ,1554714000,71,-13.1254,39.0017,83.14,11.3
66,constitucion,0,MX,1554714000,52,23.9912,-104.675,42.19,3.53
67,nemuro,8,JP,1554714000,95,43.3236,145.575,36.37,13.38
68,xichang,48,CN,1554714000,22,27.876,102.2549,77.68,3.02
69,biak,80,ID,1554714000,74,-0.9132,122.8766,86.83,2.3
70,pisco,48,PE,1554714000,94,-13.71,-76.203,67.84,1.86
71,ribeira grande,48,PT,1554714000,99,38.5167,-28.7001,58.93,11.74
72,beloha,0,MG,1554714000,40,-25.1739,45.0615,92.68,4.54
73,bluff,8,AU,1554714000,41,-23.58,149.0661,78.19,8.23
74,dali,0,CN,1554714000,59,25.6024,100.2449,65.14,5.48
75,ippy,0,CF,1554714000,52,6.2606,21.2,89.98,11.52
76,ostrovnoy,68,RU,1554714000,95,68.0544,39.5129,28.87,9.24
77,butaritari,92,KI,1554714000,100,3.0707,172.7902,81.88,12.37
78,severo-kurilsk,92,RU,1554714000,95,50.6789,156.125,32.02,22.03
79,takoradi,36,GH,1554714000,100,4.8874,-1.752,80.26,5.59
80,emerald,0,AU,1554714000,39,-23.5264,148.1619,76.74,7.11
81,bethel,76,US,1554714000,88,60.7922,-161.7559,29.67,7.23
82,honningsvag,80,NO,1554714000,97,70.9821,25.9704,31.68,7.38
83,sioux lookout,92,CA,1554714000,95,50.1001,-91.9191,31.47,3.58
84,abbotsford,76,CA,1554714000,94,49.0523,-122.3301,42.98,2.68
85,port lincoln,92,AU,1554714000,92,-34.7212,135.8592,64.06,15.84
86,cockburn town,8,TC,1554714000,99,21.4612,-71.1419,78.1,17.78
87,yako,20,BF,1554714000,21,12.9612,-2.2636,86.56,11.36
88,lorengau,92,PG,1554714000,100,-2.0226,147.2712,81.7,8.12
89,havelock,48,US,1554714000,92,34.8785,-76.9015,62.25,7.78
90,piet retief,88,ZA,1554714000,75,-27.0067,30.8078,68.29,5.99
91,maniitsoq,80,GL,1554714000,78,65.4167,-52.9001,25.81,7.05
92,ribeira brava,56,PT,1554714000,100,32.65,-17.0667,62.79,13.09
93,tiksi,0,RU,1554714000,68,71.6366,128.8685,31.84,9.51
94,ajdabiya,0,LY,1554714000,56,30.755,20.2233,72.52,9.8
95,aykhal,44,RU,1554714000,71,65.9451,111.5081,24.46,10.25
96,skjervoy,80,NO,1554714000,100,70.0311,20.9714,30.84,7.56
97,paamiut,88,GL,1554714000,90,61.994,-49.6678,32.74,11.03
98,te anau,32,NZ,1554714000,67,-45.4145,167.7175,50.83,6.11
99,ponta do sol,76,BR,1554714000,96,-20.6335,-45.9989,65.77,2.57
100,srednekolymsk,8,RU,1554714000,88,67.4555,153.7071,17.17,2.3
101,kodiak,0,US,1554714000,76,39.9519,-94.7572,48.78,1.79
102,vanimo,36,PG,1554714000,100,-2.6741,141.3028,82.06,11.14
103,tuktoyaktuk,68,CA,1554714000,93,69.444,-133.032,13.2,6.71
104,lowestoft,0,GB,1554714000,86,52.4752,1.7516,50.91,11.86
105,novo aripuana,88,BR,1554714000,95,-5.1206,-60.3798,75.22,2.53
106,rimbey,0,CA,1554714000,68,52.6417,-114.2386,29.7,4.59
107,west bay,68,GB,1554714000,78,50.7113,-2.7616,52.27,4.36
108,puerto ayora,32,EC,1554714000,100,-0.7394,-90.3518,77.83,4.99
109,siverek,80,TR,1554714000,99,37.7542,39.3174,58.69,2.24
110,sitka,0,US,1554714000,78,37.175,-99.6516,48.15,2.86
111,alyangula,92,AU,1554714000,100,-13.8484,136.4192,81.78,18.52
112,katsuura,12,JP,1554714000,63,33.9258,134.505,63.23,12.26
113,saint-pierre,80,FR,1554714000,62,48.9455,4.2446,56.59,4.54
114,prince rupert,92,CA,1554714000,100,54.3161,-130.3202,40.68,6.33
115,castro,56,CL,1554714000,97,-42.4824,-73.7644,51.58,2.46
116,naze,44,NG,1554714000,88,5.4333,7.0667,81.79,9.35
117,hohhot,80,CN,1554714000,27,40.8106,111.6522,68.41,4.88
118,chimbote,76,PE,1554714000,91,-9.0784,-78.5901,67.03,4.7
119,khatanga,48,RU,1554714000,85,71.9801,102.4743,13.75,8.9
120,porto recanati,80,IT,1554714000,85,43.4365,13.6613,55.5,11.63
121,mount gambier,92,AU,1554714000,71,-37.8302,140.7843,60.9,10.25
122,wavre,44,BE,1554714000,85,50.7164,4.6077,58.5,4.21
123,narsaq,92,GL,1554714000,80,60.9127,-46.0453,39.27,7.27
124,tasiilaq,92,GL,1554714000,94,65.6145,-37.6368,30.13,34.11
125,marystown,68,CA,1554714000,99,47.1658,-55.158,25.02,33.96
126,chipata,12,ZM,1554714000,48,-13.637,32.6492,84.04,8.79
127,soyo,92,AO,1554714000,94,-6.1334,12.3718,80.08,3.76
128,guerrero negro,0,MX,1554714000,57,27.971,-114.0364,58.21,4.47
129,bushehr,0,IR,1554714000,44,28.9685,50.8403,88.97,11.41
130,necochea,0,AR,1554714000,58,-38.5473,-58.7368,60.73,11.25
131,obo,32,CF,1554714000,91,5.3941,26.4927,83.23,11.59
132,pitiquito,0,MX,1554714000,51,30.6763,-112.0545,57.87,2.35
133,upernavik,92,GL,1554714000,88,72.7868,-56.1549,26.26,2.86
134,oussouye,8,SN,1554714000,63,12.489,-16.5433,75.58,6.11
135,mount isa,0,AU,1554714000,37,-20.729,139.4932,83.43,9.24
136,fortuna,32,ES,1554714000,63,38.1801,-1.126,67.95,4.7
